Neighborhood,Id,Total no: of households,No: of households with self employment income,Households with no self employment income
Allegheny Center,1,870,36,834
Allegheny West,2,146,22,124
Allentown,3,1069,12,1057
Arlington,4,701,28,673
Arlington Heights,5,144,0,144
Banksville,6,1946,121,1825
Bedford Dwellings,7,723,0,723
Beechview,8,3567,143,3424
Beltzhoover,9,848,10,838
Bloomfield,10,4571,345,4226
Bluff,11,240,7,233
Bon Air,12,372,33,339
Brighton Heights,13,3222,271,2951
Brookline,14,5843,418,5425
California-Kirkbride,15,333,19,314
Carrick,16,4301,238,4063
Central Business District,17,1968,221,1747
Central Lawrenceville,18,2338,272,2066
Central Northside,19,1479,107,1372
Central Oakland,20,1903,145,1758
Chartiers City,21,271,22,249
Chateau,22,3,0,3
Crafton Heights,23,1677,121,1556
Crawford-Roberts,24,1125,29,1096
Duquesne Heights,25,1170,42,1128
East Allegheny,26,1302,94,1208
East Carnegie,27,264,23,241
East Hills,28,1325,19,1306
East Liberty,29,2902,221,2681
Elliott,30,953,95,858
Esplen,31,142,14,128
Fairywood,32,428,27,401
Fineview,33,624,22,602
Friendship,34,1074,37,1037
Garfield,35,1571,94,1477
Glen Hazel,36,241,0,241
Greenfield,37,3438,431,3007
Hays,38,185,8,177
Hazelwood,39,1870,34,1836
Highland Park,40,2977,354,2623
Homewood North,41,1210,68,1142
Homewood South,42,1082,32,1050
Homewood West,43,392,0,392
Knoxville,44,1510,91,1419
Larimer,45,652,23,629
Lincoln Place,46,1460,140,1320
Lincoln-Lemington-Belmar,47,1959,55,1904
Lower Lawrenceville,48,1257,90,1167
Manchester,49,984,107,877
Marshall-Shadeland,50,1565,67,1498
Middle Hill,51,926,14,912
Morningside,52,1534,171,1363
Mount Oliver Borough,53,1465,33,1432
Mount Washington,54,4385,377,4008
Mt. Oliver,55,261,26,235
New Homestead,56,379,25,354
North Oakland,57,2972,147,2825
North Shore,58,154,0,154
Northview Heights,59,510,11,499
Oakwood,60,552,12,540
Overbrook,61,1594,94,1500
Perry North,62,1625,123,1502
Perry South,63,1630,127,1503
Point Breeze,64,2342,404,1938
Point Breeze North,65,996,120,876
Polish Hill,66,710,73,637
Regent Square,67,476,49,427
Ridgemont,68,162,0,162
Shadyside,69,7484,517,6967
Sheraden,70,2202,74,2128
South Oakland,71,1155,78,1077
South Shore,72,8,0,8
South Side Flats,73,3311,204,3107
South Side Slopes,74,1988,206,1782
Spring Garden,75,397,0,397
Spring Hill-City View,76,1080,68,1012
Squirrel Hill North,77,3370,661,2709
Squirrel Hill South,78,7211,1021,6190
St. Clair,79,101,0,101
Stanton Heights,80,2056,196,1860
Strip District,81,520,54,466
Summer Hill,82,517,27,490
Swisshelm Park,83,577,73,504
Terrace Village,84,831,45,786
Troy Hill,85,1158,80,1078
Upper Hill,86,942,66,876
Upper Lawrenceville,87,1287,132,1155
West End,88,99,14,85
West Oakland,89,630,12,618
Westwood,90,1492,86,1406
Windgap,91,647,28,619
